編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLPJRHGGFAO86DA,7,.07,店舖,鋼筋混凝土造,103年10月30日,十二層,一層
RPWNMLPJRHGGFAO86DA,7,121.21,集合住宅,鋼筋混凝土造,103年10月30日,十二層,十一層 陽台 雨遮
RPWNMLPJRHGGFAO86DA,7,.12,店舖,鋼筋混凝土造,103年10月30日,十層,一層
RPWNMLPJRHGGFAO86DA,7,7.78,共有部分,鋼筋混凝土造,103年10月30日,十二層,
RPWNMLPJRHGGFAO86DA,7,7.94,共有部分,鋼筋混凝土造,103年10月30日,十二層,
RPWNMLPJRHGGFAO86DA,7,21.05,共有部分,鋼筋混凝土造,103年10月30日,十二層,
RPWNMLPJRHGGFAO86DA,7,102.11,共有部分,鋼筋混凝土造,103年10月30日,十二層,
RPWNMLPJRHGGFAO86DA,7,12.75,共有部分,鋼筋混凝土造,103年10月30日,十一層,
RPXPMLMJRHGGFAO86DA,7,44.67,共有部分,鋼筋混凝土造,103年10月30日,十二層,
RPXNMLRJRHGGFAO17DA,,54.79,集合住宅,鋼筋混凝土造,110年6月11日,十四層,九層 陽台 雨遮
RPXNMLRJRHGGFAO17DA,,62.97,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPXNMLRJRHGGFAO17DA,,2.80,共有部分,鋼筋混凝土造,110年6月11日,十四層,
