編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWQMLNJRHGGFFE09DA,,36.40,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPUPMLNJRHGGFFE78DA,,56.29,集合住宅,鋼筋混凝土造,110年6月23日,005,五層 陽台
RPUPMLNJRHGGFFE78DA,,35.37,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPXQMLNJRHGGFFE56DA,,59.29,集合住宅,鋼筋混凝土造,110年6月23日,005,五層 陽台
RPXQMLNJRHGGFFE56DA,,21.63,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPVNMLSJRHGGFFE56DA,44,77.92,住商用,加強磚造,66年8月11日,002,一層 二層
RPRQMLNJRHGGFFE58DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,二層 陽台
RPRQMLNJRHGGFFE58DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPRNMLOKQHGGFGE48DA,8,130.90,集合住宅,鋼筋混凝土,102年9月1日,015,十一層 陽台 雨遮
RPRNMLOKQHGGFGE48DA,8,87.52,本共有部分之項目有停車空間，防空避難室兼停車空間，公共服務空間，門廳，門廊，管理委員使用空間，頂蓋型開放空間，樓梯間，機械室，水箱等１０項。,鋼筋混凝土,102年9月1日,015,
RPRQMLQLPHGGFGE98DA,17,274.45,店舖、住宅、停車空間、樓梯間,鋼筋混凝土,93年10月16日,005,一層 二層 三層 四層 五層 陽台 屋頂突出物 雨遮
RPWOMLLJRHGGFGE78DA,23,81.25,住家用,鋼筋混凝土造,87年5月20日,014,五層 陽台
RPWOMLLJRHGGFGE78DA,23,31.85,共有部份,鋼筋混凝土造,87年5月20日,014,
RPTNMLRLQHGGFGE09DA,45,235.99,住商用,加強磚造,65年2月28日,004,一層 二層 三層 四層 騎樓
RPUNMLQJRHGGFGE98DA,40,73.65,住家用,鋼筋混凝土造,70年12月30日,005,三層
RPQOMLNLQHGGFGE48DA,41,73.53,住家用,鋼筋混凝土造,69年12月22日,005,四層
RPSNMLNJRHGGFGE48DA,26,151.25,住家用,鋼筋混凝土造,85年1月10日,016,六層 陽台 花台
RPSNMLNJRHGGFGE48DA,26,60.46,共有部份,鋼筋混凝土造,85年1月10日,016,
RPOOMLRJRHGGFGE58DA,29,109.50,住家用,鋼筋混凝土造,81年10月28日,015,九層 陽台 花台
RPOOMLRJRHGGFGE58DA,29,27.30,共有部份,鋼筋混凝土造,81年10月28日,015,
RPQNMLOLQHGGFGE48DA,11,356.34,停車空間、集合住宅、樓梯間,鋼筋混凝土造,99年10月31日,005,一層 二層 三層 四層 五層 陽台 屋頂突出物 雨遮
RPRPMLRJRHGGFGE98DA,33,60.80,住家用,加強磚造,77年9月20日,002,一層 二層 陽台
RPSOMLRJRHGGFGE98DA,1,53.74,集合住宅,鋼筋混凝土,109年12月10日,023,十三層 陽台 雨遮
RPSOMLRJRHGGFGE98DA,1,54.13,本共有部分之項目有防空避難室兼停車空間，梯間＋交誼廳，防災中心，車道，緩衝空間，樓梯間，中繼水箱，造型框架，機械室，水箱等項。,鋼筋混凝土,109年12月10日,025,
RPXPMLRJRHGGFGE96DA,35,155.70,住商用,鋼筋混凝土造,76年1月6日,003,一層 二層 三層 騎樓
RPOOMLTJRHGGFGE78DA,9,80.98,店舖、集合住宅、外廊、門廊,鋼筋混凝土,101年9月1日,015,一層 陽台 見其他登記事項
