鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
水里鄉,房地(土地+建物),南投縣水里鄉一路９號,16810.0,,山坡地保育區,農牧用地,1100812,土地1建物1車位0,全,一層,透天厝,農舍,鋼鐵造有牆,0901212,118.71,3,2,1,有,無,6000000,50543,,0.0,0,,RPPNMLNKRHGGFEM98EA,118.71,0.0,0.0,無,
竹山鎮,土地,吉祥段111地號,1312.47,都市：其他:工業區,,,1100715,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14500000,11048,,0.0,0,,RPRNMLNKRHGGFDM98DA,0.0,0.0,0.0,無,
仁愛鄉,土地,華岡段99-7地號,5242.0,,山坡地保育區,農牧用地,1100816,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4250000,811,,0.0,0,,RPRNMLPKRHGGFCM09DA,0.0,0.0,0.0,無,
埔里鎮,土地,忠實段527地號,6.64,都市：其他:住宅區,,,1100910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,263126,39627,,0.0,0,政府機關標讓售；,RPWNMLOKRHGGFCM86DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮公誠路４８號七樓之２,27.72,都市：其他:住宅區,,,1100906,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850815,145.62,4,2,2,有,有,5200000,35709,升降機械,0.0,0,,RPRNMLNKRHGGFCM88DA,88.81,8.76,0.0,有,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮中山路三段５６３之２號十樓,22.28,,特定農業區,甲種建築用地,1100808,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造,1100608,114.96000000000001,2,1,2,有,有,6850000,59586,坡道平面,0.0,0,,RPTNMLNKRHGGFCM09DA,57.74,4.61,0.0,有,013
埔里鎮,房地(土地+建物),南投縣埔里鎮成功路１６之５號,163.01,,特定農業區,甲種建築用地,1100817,土地1建物1車位0,全,一層,透天厝,住家用,鋼鐵造有牆、鋼骨造有牆,0900914,95.42,2,2,1,有,無,3000000,31440,,0.0,0,,RPUNMLNKRHGGFCM56DA,95.42,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮草溪路４６９號,1557.0,都市：其他:農業區,,,1100906,土地1建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土造,0860529,361.05,0,0,0,無,無,48100000,133223,,0.0,0,加油站,RPRNMLTJRHGGFBM66DA,361.05,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮育樂路３１巷９號,49.75,都市：其他:住宅區,,,1100827,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660504,68.0,6,3,2,有,無,3260000,47941,,0.0,0,,RPRNMLNJRHGGFCM78DA,68.0,0.0,0.0,無,
草屯鎮,土地,新埔段294地號,1099.08,,特定農業區,農牧用地,1081120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9980000,9080,,0.0,0,,RPPNMLNKRHGGFBM58DA,0.0,0.0,0.0,無,
